user_id,hist_len,recall@10,length_bin
f04b206f-17d6-4ea9-9913-1369929c5030,19,0.8,Low (6-20)
79d0b13b-2fc9-4a86-ad30-6ad10ef2c05d,23,0.5,Medium (21-100)
d8e17534-cef7-4090-9d71-4be4fe9907d3,13,0.25,Low (6-20)
6112bf42-40a0-4ee5-b772-d2394c824cf7,5,0.0,Cold (1-5)
5f128a11-e088-498d-8ca8-7bf391a1bfe7,6,1.0,Low (6-20)
81db75e5-a2fd-4d42-b1e8-bfb193439f5c,16,0.4,Low (6-20)
6208fd1b-7d9c-4eb1-9a78-74661541caeb,4,0.0,Cold (1-5)
54b63052-655a-4130-a4a9-90fdb0a5ba84,4,0.0,Cold (1-5)
4aee8558-e6c2-43e4-8fdf-54d90b503cdb,5,0.0,Cold (1-5)
e2f3a76a-2368-40d8-b510-c97e41d3c16e,22,0.6666666666666666,Medium (21-100)
e5f6483c-31bd-48b3-aed1-24b96801b3b3,4,0.0,Cold (1-5)
1bccb2ff-2818-44ba-ada6-3393915183f5,14,0.5,Low (6-20)
ee3fc147-edbc-4f87-8b34-59377688df7d,4,0.0,Cold (1-5)
cc134f02-de5f-4151-80d4-a23cdd7fcce3,7,0.5,Low (6-20)
93e64e07-2619-4837-9f3a-95ec972313ba,4,0.0,Cold (1-5)
28a21b8d-f0bd-4017-9450-f5b8f0f5109f,4,0.0,Cold (1-5)
a33ec9ce-b0c5-408d-a76b-270fefbf9d79,6,1.0,Low (6-20)
957fa5a3-3166-4922-bcb5-50bf71030e1f,4,0.0,Cold (1-5)
8db4254a-8c1b-4e7d-93ec-96907253362d,4,1.0,Cold (1-5)
fc13c5fe-9028-4625-93a4-3e5c32098d89,7,1.0,Low (6-20)
64894c71-c71d-4741-a107-8751b8e9ec32,5,0.0,Cold (1-5)
e0d22ddd-d236-46a8-9c50-c1b81490bc84,4,0.0,Cold (1-5)
638cb7b3-edd3-4c29-a4d5-519b574e911a,14,0.75,Low (6-20)
e7a4aeeb-0a6a-4b79-a86d-79da583b3545,4,0.0,Cold (1-5)
a7ce2549-f73e-48d7-bd17-6a43da077a73,7,0.5,Low (6-20)
5b9a7f13-3209-4432-ac5c-829595061cd8,4,1.0,Cold (1-5)
e2041e6d-f7c4-4cde-baac-5ae2a7e636cc,7,0.0,Low (6-20)
9411c815-9eb6-466e-b3e2-1e739510c94b,6,0.5,Low (6-20)
18fc8412-8068-4993-9382-f44d716f092e,4,0.0,Cold (1-5)
3c608533-476b-4710-b303-d84aaef3ee9d,8,0.5,Low (6-20)
1d59f39c-0b44-4d7e-93c6-a471844ff684,15,1.0,Low (6-20)
91947b38-5ecd-4b12-957a-26e52198f058,8,1.0,Low (6-20)
6c51bbf8-f00e-4ddf-8ff5-cf034a6cfbd8,4,0.0,Cold (1-5)
2b27ab92-c89d-4529-a238-905974a11cfd,23,0.3333333333333333,Medium (21-100)
b90df535-3585-40ac-b6ac-59ef4fdab88d,5,0.5,Cold (1-5)
dde4cfc8-f4cf-47be-8d9c-21b3b7f63098,4,0.0,Cold (1-5)
c65228f6-59a4-41a9-8d06-788406e5ff7e,5,0.0,Cold (1-5)
6a3addbf-f699-482d-ba2f-02248d52db95,13,0.25,Low (6-20)
3d50490f-f49f-4cb4-86e9-ed57caf70ab4,15,0.75,Low (6-20)
5d719be8-9c09-435f-8dde-3253eb1b3191,17,0.8,Low (6-20)
34e43885-7fae-4207-80f2-853c0eba099a,23,0.5,Medium (21-100)
7f98ebb4-a2da-4579-9c3c-0f2fbaafc754,4,0.5,Cold (1-5)
69ba7d3d-eac7-4878-9d3f-984353a91c15,22,0.3333333333333333,Medium (21-100)
19aa79e6-7ac8-497f-8db2-b86295e117ed,8,0.0,Low (6-20)
912ab3dd-fbc1-4bdf-a3e0-07a8ce054ece,5,0.5,Cold (1-5)
3f27d01d-1638-49d3-ade5-84e5372cbc9d,4,0.0,Cold (1-5)
98ae4949-8a9c-481c-911c-a3fa49eea244,19,0.8,Low (6-20)
